amount,payment_mode,order_status,cust_name,cust_email,cust_phone,cust_city,signup_date,name_rest,city_rest,cuisine,name_del,vehicle_type,city_del,phone_del
926.69,UPI,Delivered,Julie Ramos,yleon@jackson.org,134-332-0037x91769,Lake Heather,02/07/24,Woods-Bender,Karenchester,Indian,Danny Hernandez,Bike,Margaretland,2499471746
1158.1,UPI,Delivered,Ashley Waller,benjamin96@chandler-edwards.org,169.340.6088x35615,Elizabethville,25/12/24,Woods-Bender,Karenchester,Indian,Danny Hernandez,Bike,Margaretland,2499471746
1102.43,Cash,In Progress,Julie Ramos,yleon@jackson.org,134-332-0037x91769,Lake Heather,02/07/24,Tucker-Price,Ramseymouth,Thai,Danny Hernandez,Bike,Margaretland,2499471746
1058.46,UPI,Delivered,Julie Ramos,yleon@jackson.org,134-332-0037x91769,Lake Heather,02/07/24,Tucker-Price,Ramseymouth,Thai,Danny Hernandez,Bike,Margaretland,2499471746
808.24,UPI,Cancelled,Julie Ramos,yleon@jackson.org,134-332-0037x91769,Lake Heather,02/07/24,Tucker-Price,Ramseymouth,Thai,Danny Hernandez,Bike,Margaretland,2499471746
161.72,Card,Delivered,Jacob Tran,bobbydiaz@gmail.com,(331)586-9232x260,Lake Sandra,11/02/25,Hooper PLC,South Brittanytown,Italian,Danny Hernandez,Bike,Margaretland,2499471746
1479.31,UPI,Delivered,Cindy Anderson,kristenaguirre@gmail.com,165-667-0106,Laurenville,25/12/23,Hooper PLC,South Brittanytown,Italian,Danny Hernandez,Bike,Margaretland,2499471746
876.18,UPI,Cancelled,Sarah Wagner,davisrodney@yahoo.com,524278680,North Sierraberg,11/08/24,Hooper PLC,South Brittanytown,Italian,Danny Hernandez,Bike,Margaretland,2499471746
433.21,Cash,Cancelled,Sharon James,francisco53@hotmail.com,192-832-7648x350,Port Antonio,15/02/24,Curry Inc,Jeffreyland,Thai,Danny Hernandez,Bike,Margaretland,2499471746
533,Card,Cancelled,Tyler Cowan,jamesrobinson@gmail.com,001-805-009-7882,New Christopherburgh,07/08/23,Curry Inc,Jeffreyland,Thai,Danny Hernandez,Bike,Margaretland,2499471746
